timestamp,cny1,cny2,cny3,cny4,cny5,cny6
2025-05-21 21:05:48,1,1,1,1,1,0
2025-05-21 21:05:49,1,1,1,1,1,0
2025-05-21 21:05:50,1,1,1,1,1,0
2025-05-21 21:05:51,1,1,1,1,1,0
2025-05-21 21:05:53,1,1,1,1,1,0
2025-05-21 21:05:54,1,1,1,1,1,0
2025-05-21 21:05:55,1,1,1,0,0,1
2025-05-21 21:05:56,1,1,1,0,0,1
2025-05-21 21:05:57,1,1,1,0,0,1
2025-05-21 21:05:59,1,1,1,0,0,0
2025-05-21 21:06:00,1,1,1,0,0,0
2025-05-21 21:06:01,1,1,1,0,0,0
2025-05-21 21:06:02,1,1,1,0,0,0
2025-05-21 21:06:04,1,1,1,0,0,0
2025-05-21 21:06:05,1,1,1,1,1,1
2025-05-21 21:06:06,1,1,1,1,1,1
2025-05-21 21:06:07,1,1,1,1,1,1
2025-05-21 21:06:09,1,1,1,1,1,1
2025-05-21 21:06:10,0,0,1,1,1,1
2025-05-21 21:06:11,0,0,1,1,1,1
2025-05-21 21:06:12,0,0,1,1,1,1
2025-05-21 21:06:14,0,0,1,1,1,1
2025-05-21 21:06:15,0,0,1,1,1,1
2025-05-21 21:06:16,0,0,1,1,1,1
2025-05-21 21:06:17,0,0,1,1,1,1
2025-05-21 21:06:18,0,0,1,1,1,1
2025-05-21 21:06:20,0,1,1,1,1,1
2025-05-21 21:06:21,1,0,1,1,1,1
2025-05-21 21:06:22,1,0,1,1,1,1
2025-05-21 21:06:23,0,0,1,1,1,1
2025-05-21 21:06:24,1,0,0,1,1,1
2025-05-21 21:06:26,0,0,1,1,1,1
2025-05-21 21:06:27,0,0,1,1,1,1
2025-05-21 21:06:28,0,0,1,1,1,1
2025-05-21 21:06:29,1,1,1,1,1,1
